user,mode,dt,d_km,slope,t_a,t_b,lat_a,lng_a,lat_b,lng_b,near_frontier,reach_frac
4,cycling,20.0,0.324,61.7,113.0,93.0,51.50012,-0.06312,51.50284,-0.06146,True,0.547
5,cycling,20.0,0.324,61.7,113.0,93.0,51.48859,-0.02529,51.48587,-0.02695,True,0.783
5,cycling,20.0,0.32,62.5,113.0,93.0,51.48608,-0.02234,51.48587,-0.02695,True,0.783
3,walking,20.0,0.324,61.8,30.0,10.0,51.55775,-0.019,51.56048,-0.01734,False,0.302
2,transit,20.0,0.32,62.5,61.0,41.0,51.54072,0.07382,51.54093,0.07843,False,1.0
4,cycling,20.0,0.346,57.7,111.0,91.0,51.50327,-0.05223,51.50578,-0.05518,True,0.547
0,cycling,19.0,0.346,54.9,110.0,91.0,51.48608,-0.02234,51.48356,-0.01939,True,0.677
3,walking,19.0,0.324,58.7,104.0,85.0,51.55248,0.04063,51.5552,0.04229,False,0.302
2,transit,19.0,0.324,58.6,69.0,50.0,51.48608,-0.02234,51.4888,-0.02068,False,1.0
3,walking,19.0,0.324,58.7,88.0,107.0,51.53029,0.01809,51.52757,0.01642,False,0.302
2,transit,19.0,0.347,54.8,96.0,77.0,51.46454,-0.20133,51.46705,-0.20429,True,1.0
3,walking,19.0,0.346,54.9,30.0,11.0,51.55775,-0.019,51.56027,-0.02195,False,0.302
2,transit,18.0,0.324,55.5,66.0,84.0,51.47489,-0.15021,51.47216,-0.15186,False,1.0
2,transit,18.0,0.32,56.3,56.0,38.0,51.57112,0.04305,51.57133,0.04767,False,1.0
2,transit,18.0,0.346,52.0,43.0,61.0,51.50012,-0.06312,51.50263,-0.06607,False,1.0
5,cycling,18.0,0.32,56.2,106.0,88.0,51.49635,-0.02953,51.49614,-0.03415,False,0.783
4,cycling,18.0,0.324,55.5,93.0,111.0,51.50305,-0.05684,51.50033,-0.0585,True,0.547
4,cycling,18.0,0.346,52.0,111.0,93.0,51.50033,-0.0585,51.50284,-0.06146,True,0.547
4,cycling,18.0,0.32,56.2,113.0,95.0,51.4909,-0.03285,51.49111,-0.02824,True,0.547
0,cycling,18.0,0.32,56.2,94.0,112.0,51.50411,-0.03378,51.50432,-0.02916,True,0.677
0,cycling,18.0,0.324,55.5,94.0,112.0,51.50159,-0.03082,51.50432,-0.02916,True,0.677
3,walking,18.0,0.32,56.2,73.0,55.0,51.58018,-0.05022,51.58038,-0.0456,False,0.302
4,cycling,18.0,0.32,56.2,93.0,111.0,51.48859,-0.02529,51.48838,-0.0299,True,0.547
3,walking,18.0,0.324,55.6,109.0,91.0,51.52422,0.00092,51.52694,0.00258,False,0.302
0,cycling,18.0,0.324,55.5,111.0,93.0,51.48859,-0.02529,51.48587,-0.02695,True,0.677
4,cycling,18.0,0.32,56.2,93.0,111.0,51.50305,-0.05684,51.50327,-0.05223,True,0.547
0,cycling,17.0,0.32,53.1,110.0,93.0,51.48608,-0.02234,51.48587,-0.02695,True,0.677
2,transit,17.0,0.324,52.5,52.0,35.0,51.55985,-0.03119,51.56257,-0.02953,False,1.0
