idx,lat,lng,driving_o0,cycling_o0,transit_o0,walking_o0,driving_o1,driving_o2,driving_o3,n_modes_anom,n_origins_anom
116,51.54665,-0.03027,0.0,,-1.5,,0.0,-3.0,-2.5,0,0
117,51.43818,-0.1411,-0.5,-1.5,3.5,2.0,-0.5,2.0,2.0,0,0
118,51.45461,-0.07287,0.0,-0.5,0.5,,-1.0,0.0,-1.0,0,0
119,51.50012,-0.00481,5.0,0.0,2.5,,2.0,4.5,3.5,0,0
120,51.56065,0.04562,0.5,,0.5,,1.0,1.0,1.0,0,0
121,51.49132,-0.02363,-2.5,-0.5,-2.5,,-2.5,-2.0,-2.0,0,0
122,51.565,0.0842,-0.5,,1.5,,-1.0,-1.0,-1.0,0,0
123,51.51206,0.0249,0.5,,-2.0,,0.5,-1.0,1.0,0,0
124,51.54432,0.03563,-1.0,,-1.5,,0.5,0.0,0.0,0,0
125,51.50767,-0.01366,1.0,0.0,0.0,,1.0,-1.0,0.0,0,0
126,51.53548,0.0751,-1.0,,2.5,,-0.5,0.0,0.0,0,0
127,51.59083,0.0102,-1.0,,4.5,,-2.0,0.0,-2.0,0,0
128,51.43329,-0.18887,-1.5,-1.5,-4.5,-4.0,-0.5,-1.0,-1.5,0,0
129,51.50943,-0.20552,1.0,2.0,-1.5,,-0.5,0.0,0.5,0,0
130,51.53923,-0.19193,0.0,-1.0,1.0,,-0.5,-1.0,0.0,0,0
131,51.47983,-0.21449,0.0,2.5,3.0,4.0,0.0,0.5,0.5,0,0
132,51.54052,-0.1642,0.5,0.5,4.0,,0.0,1.0,1.0,0,0
133,51.52213,-0.04522,-0.5,1.5,-4.5,,-1.0,-1.0,-0.5,0,0
134,51.52286,-0.20187,-0.5,-1.5,-2.0,,-1.0,0.0,-0.5,0,0
135,51.51269,-0.07789,-0.5,1.0,2.0,,1.5,0.0,0.0,0,0
136,51.52415,-0.17414,-1.0,1.0,-0.5,,0.0,-1.0,-1.0,0,0
137,51.51584,-0.00868,0.0,,5.0,,0.0,-2.0,-1.0,0,0
138,51.48629,-0.01773,5.5,0.5,0.5,,1.0,2.0,2.0,0,0
139,51.53025,-0.15697,1.0,-2.5,3.5,,2.0,0.0,1.0,0,0
140,51.42877,-0.11544,1.0,0.0,-2.5,1.5,1.0,1.0,0.0,0,0
141,51.52896,-0.18469,-1.0,-2.5,-5.0,,-1.0,0.5,0.5,0,0
