pattern,n_coarse,n_fine,ours_variance,own_grid_opt,ref_opt,seam_gap_pct,quant_gap_pct,total_gap_pct,quant_km,ours_calls,exhaustive_calls,call_ratio,certified,certified_rounds,certified_calls,certified_gap_pct,city,n,seed
h3,222,1525,5.6218,5.6218,5.2553,0.0,6.9729,6.9729,0.1304,1695,7625,0.2223,True,0,1780,6.9729,bengaluru,5,3
square,225,1573,5.4313,5.4313,5.2553,0.0,3.3475,3.3475,0.1362,1750,7865,0.2225,True,0,1825,3.3475,bengaluru,5,3
octile,225,1573,5.4313,5.4313,5.2553,0.0,3.3475,3.3475,0.1362,1795,7865,0.2282,True,0,1870,3.3475,bengaluru,5,3
triangle,226,1560,5.5923,5.5923,5.2553,0.0,6.4124,6.4124,0.0693,1715,7800,0.2199,True,0,1855,6.4124,bengaluru,5,3
trunc_square,224,1569,5.5678,5.5678,5.2553,0.0,5.9459,5.9459,0.0765,1785,7845,0.2275,True,1,1915,5.9459,bengaluru,5,3
poisson,228,1590,5.5144,5.5144,5.2553,0.0,4.9287,4.9287,0.2537,1775,7950,0.2233,True,0,1890,4.9287,bengaluru,5,3
h3,139,965,141.8998,141.8998,141.8397,0.0,0.0424,0.0424,0.1347,1170,4825,0.2425,True,3,1280,0.0424,bengaluru,5,4
square,140,994,142.2372,142.2372,141.8397,0.0,0.2803,0.2803,0.1872,1285,4970,0.2586,True,10,1625,0.2803,bengaluru,5,4
octile,140,994,142.2372,142.2372,141.8397,0.0,0.2803,0.2803,0.1872,1315,4970,0.2646,True,10,1645,0.2803,bengaluru,5,4
triangle,140,991,142.074,142.074,141.8397,0.0,0.1652,0.1652,0.1348,1245,4955,0.2513,True,10,1575,0.1652,bengaluru,5,4
trunc_square,144,993,142.7566,142.7566,141.8397,0.0,0.6465,0.6465,0.2862,1285,4965,0.2588,True,7,1590,0.6465,bengaluru,5,4
poisson,139,1006,142.3474,142.3474,141.8397,0.0,0.358,0.358,0.2722,1205,5030,0.2396,True,15,1680,0.358,bengaluru,5,4
h3,301,2144,687.8703,687.8703,687.589,0.0,0.0409,0.0409,0.1348,1975,10720,0.1842,True,0,2140,0.0409,bengaluru,5,5
square,316,2208,687.5595,687.5595,687.589,0.0,-0.0043,-0.0043,0.0982,2070,11040,0.1875,True,1,2225,-0.0043,bengaluru,5,5
octile,316,2208,687.5595,687.5595,687.589,0.0,-0.0043,-0.0043,0.0982,2095,11040,0.1898,True,1,2250,-0.0043,bengaluru,5,5
triangle,310,2202,687.6538,687.6538,687.589,0.0,0.0094,0.0094,0.1146,1980,11010,0.1798,True,2,2180,0.0094,bengaluru,5,5
trunc_square,317,2208,688.3935,688.3935,687.589,0.0,0.117,0.117,0.1896,2080,11040,0.1884,True,4,2320,0.117,bengaluru,5,5
poisson,321,2210,687.7435,687.7435,687.589,0.0,0.0225,0.0225,0.084,2155,11050,0.195,True,1,2275,0.0225,bengaluru,5,5
